jobid,pid,homework,grade,remarks
,A02866348,5,100,correct
,A04540481,5,100,correct
,A08350601,5,95,higgs: error not within bounds
,A08653595,5,100,correct
,A09134209,5,100,correct
,A09146619,5,100,correct
,A09771598,5,100,correct
,A53072604,5,100,correct
,A53087566,5,100,correct
,A53106952,5,100,correct
,A53108479,5,100,correct
,A53110637,5,100,correct
,A53110849,5,100,correct
,A53111004,5,100,correct
,A53111141,5,100,correct
,A53111216,5,100,correct
,A53111231,5,100,correct
,A53111354,5,100,correct
,A53111588,5,100,correct
,A53111789,5,95,higgs: time limit exceeded
,A53111951,5,100,correct
,A53112142,5,100,correct
,A53112354,5,100,correct
,A53112379,5,100,correct