student_pid, notebook_pairs
A53218476,A53200443 : A53224865,A53221859 : A53229039,A53203446 : A53214137,A53220223 : A53214922,A53212052 : A53220055
A53228642,A53201515 : A53220159,A53201459 : A53058446,A53205019 : A53221859,A53214804 : A53225380,A53213872 : A53225380
A53202177,A53227602 : A53204236,A53219165 : A53215552,A53227602 : A53214137,A53217553 : A53215013,A53229091 : A53216516
A53210397,A53227688 : A53228033,A53204571 : A53208651,A53229039 : A09739609,A53205623 : A53215182,A53213872 : A53228931
A53206917,A53219498 : A53208883,A09240216 : A53219632,A53219654 : A53091724,A53219498 : A53091724,A53214192 : A53207678
A53215013,A53203446 : A53204236,A10660264 : A53088770,A53214192 : A53203965,A53203195 : A53217445,A53203033 : A53212334
A53216516,A53219148 : A53212052,A53229039 : A53204772,A53218476 : A53203966,A53228642 : A53210041,A53228518 : A53226915
A53228338,A53228503 : A53212800,A53218476 : A53218665,A53226915 : A53209077,A53227982 : A53211801,A53091182 : A53216658
A53212052,A13291871 : A53211801,A98005611 : A53227458,A53212389 : A53216518,A53220664 : A53089745,A53205632 : A53221997
A53216518,A53202646 : A53211051,A53212966 : A53210397,A53211044 : A53202335,A53207015 : A53218476,A53203181 : A53204705
A53201095,A08001117 : A53219632,A53090836 : A53218602,A53201459 : A53058446,A53225380 : A53219777,A08937970 : A53210491
A98099513,A53214162 : A99048469,A53228576 : A53219632,A53228518 : A53226915,A53214122 : A53227458,A53216604 : A53213120
A53208651,A53207015 : A53220021,A53209370 : A53212389,A53212517 : A53058446,A53204220 : A53220640,A53211917 : A53215013
A53219654,A53227982 : A53088770,A53228518 : A53209077,A11302948 : A53204900,A53228033 : A53220135,A53207678 : A53203965
A08001117,A11302948 : A53204408,A53226915 : A53224865,A53203181 : A53213477,A53209370 : A53213120,A99048469 : A53221873
A53211421,A53228518 : A53200443,A53204408 : A53204900,A53212795 : A53216658,A53219165 : A53220876,A53206209 : A53214137
A53213937,A53219498 : A53212862,A53214465 : A53210041,A53207045 : A53229091,A53210709 : A53215013,A53209213 : A53211130
A53070548,A53228341 : A53212052,A53210761 : A53211130,A53216516 : A53219500,A53220043 : A53201624,A10743411 : A53221613
A98005611,A53213478 : A98022702,A53206319 : A98099513,A53213406 : A53221873,A53204571 : A50054801,A53228576 : A08001117
A53089745,A53214162 : A53213406,A53202646 : A53227458,A53204772 : A09739609,A53207007 : A53211863,A91066094 : A53212517
A53203175,A53228642 : A53214465,A53222854 : A53227801,A53210491 : A53221613,A53206643 : A53204220,A53228642 : A53204900
A53220876,A53205204 : A53213872,A53227688 : A53212795,A53215124 : A53096247,A53210709 : A53222854,A53227688 : A53216658
A53218602,A53096247 : A53060769,A53228642 : A53210041,A00127853 : A53048780,A53204705 : A53208651,A53217617 : A09240216
A53210491,A53097956 : A53207678,A53205632 : A53070477,A53203033 : A53205632,A53214078 : A53211863,A53217553 : A53210709
A53223244,A53202177 : A53218665,A53211801 : A53088770,A53104529 : A53212862,A53214192 : A53209671,A53200821 : A53089745
A53220664,A99048469 : A53221873,A53213477 : A53208651,A53223244 : A53091001,A53214192 : A10566076,A53212389 : A53205212
A53221859,A53214137 : A53204236,A53227688 : A53220135,A53215552 : A53222917,A53220876 : A53222917,A53211917 : A53215013
A53204220,A53214922 : A53207007,A53210397 : A53210491,A53214192 : A10566076,A53219165 : A53222917,A53208883 : A53104529
A53203195,A53207045 : A53228338,A53220876 : A53222917,A53228576 : A53203634,A53212966 : A10743411,A53228642 : A53204408
A53203446,A53229039 : A09739609,A53208883 : A53091724,A53210709 : A53215013,A53212389 : A53216518,A53228341 : A53217445
A53220055,A91066094 : A53201459,A53206591 : A53096247,A53210709 : A53211917,A53223244 : A53215552,A53212966 : A53210491
A53211044,A53220223 : A53214922,A53217553 : A53210709,A53219165 : A53223244,A53220043 : A53210761,A53091182 : A53227688
A53210709,A53219498 : A53212862,A53211044 : A53206917,A53203195 : A53220055,A53070548 : A53201515,A98005611 : A53202646
A53212517,A10660264 : A53227982,A53204571 : A50054801,A53207015 : A53203966,A53205530 : A53204236,A53218665 : A53203966
A91066094,A53205632 : A53070477,A53228341 : A53203195,A53209671 : A53203965,A53210709 : A53227801,A53215013 : A53227801
A53217617,A53218476 : A53202177,A53225380 : A53219777,A53216518 : A53205212,A53214465 : A53210041,A53080809 : A10660264
A53203965,A53214922 : A53211334,A53090836 : A53201459,A53216518 : A53213120,A53213354 : A53218121,A53225989 : A53070477
A53203966,A10566076 : A53207678,A53216604 : A53205212,A53207865 : A53089745,A53216991 : A53213478,A07061018 : A53214122
A53213354,A53097956 : A53203965,A53216516 : A53219500,A53209213 : A53211130,A53205204 : A53213872,A53220021 : A53203966
A53207015,A53218602 : A53212517,A53203175 : A53202335,A53213937 : A53228136,A53105993 : A53200821,A98099513 : A53202335
A53214078,A91066094 : A53218602,A53228503 : A53201515,A53206917 : A53202335,A53221859 : A53214514,A53223155 : A53206643
A53202335,A53217553 : A53222854,A11302948 : A53228642,A53210397 : A53221613,A53210761 : A53222305,A53228576 : A53203634
A53201624,A53214514 : A53204772,A53228338 : A53216516,A53213477 : A50054801,A53212052 : A53220055,A53207045 : A09141151
A53225989,A53091182 : A53228033,A53214922 : A53211863,A53217553 : A53222854,A53227688 : A53220135,A10743411 : A53210397
A53222305,A53211044 : A53203175,A53220876 : A53215552,A91066094 : A53058446,A53209370 : A53205212,A99048469 : A53213937
A53211801,A53227688 : A53228033,A00127853 : A53223155,A53219148 : A53220055,A53212795 : A53228033,A00127853 : A53206643
A53203181,A53214122 : A53211051,A53203175 : A98099513,A53225989 : A53070477,A53227982 : A53211801,A53070548 : A53201515
A53211863,A53226915 : A53209077,A13291871 : A53227982,A08937970 : A53221613,A53217553 : A53210709,A53203181 : A53204705
A53204772,A53211044 : A98099513,A98005611 : A53227458,A53203033 : A53070477,A53213120 : A53205212,A53220043 : A53222305
A53222854,A53225989 : A53212334,A50054801 : A53208651,A53218602 : A53058446,A53228341 : A53217445,A53214514 : A09739609
A53222917,A53221873 : A53228136,A53218476 : A53203966,A53228931 : A53219777,A53205204 : A53219777,A53080809 : A13291871
A53223155,A53219498 : A53104529,A53216991 : A98022702,A53216604 : A53213120,A53097956 : A53209671,A53228503 : A53070548
A53091724,A08937970 : A53221613,A53229091 : A53219500,A53090836 : A91066094,A53213478 : A53211421,A53211334 : A53207007
A53204571,A53219654 : A53104529,A53220664 : A53200821,A53227688 : A53216658,A09240216 : A53228576,A53228033 : A53216658
A53207865,A53225989 : A53203033,A53214804 : A53213872,A53200443 : A53229113,A53228341 : A53219148,A53207678 : A53209671
A09141151,A53091001 : A53222917,A13291871 : A53227982,A53212389 : A53213120,A53203033 : A53205632,A53211917 : A53227801
A53217553,A07061018 : A53202646,A53228642 : A53204900,A53206917 : A53206319,A53219148 : A53217445,A53223155 : A53048780
A53214162,A53090836 : A53212517,A53228341 : A53220055,A53211917 : A53222854,A53212334 : A53205632,A53219165 : A53220876
A53091001,A53205623 : A53215182,A53203033 : A53212334,A53211334 : A53214078,A53201624 : A53211130,A53223155 : A53220640
A53209671,A53206591 : A53205623,A53091182 : A53220135,A53217553 : A53211917,A53217617 : A53228576,A53210709 : A53222854
A53227982,A53213937 : A53228136,A53225380 : A53228931,A53221873 : A53213937,A53209370 : A53205212,A98005611 : A53211051
A53219500,A53091182 : A53216658,A53219148 : A53217445,A53091724 : A53212862,A53203181 : A53204571,A53216518 : A53205212
A53058446,A53210761 : A53222305,A53203181 : A53204571,A53091182 : A53227688,A53221859 : A53229039,A09141151 : A53219500
A53206643,A53080809 : A53227982,A99048469 : A53228136,A53202646 : A53211051,A53205623 : A53096247,A53214922 : A53214078
A53207678,A53228033 : A53216658,A07061018 : A53214122,A53212517 : A53201459,A53203181 : A50054801,A53212800 : A53220159
A53219777,A53200443 : A53209077,A53206591 : A53060769,A53217553 : A53227801,A53220664 : A53105993,A53203195 : A53212052
A53211917,A53211051 : A53227458,A53228518 : A53200443,A53214122 : A53211051,A53222305 : A53211130,A53205623 : A53060769
A53213478,A53205623 : A53060769,A53096247 : A53060769,A53206917 : A53203175,A53097956 : A53214192,A98099513 : A53202335
A53088770,A53214162 : A53228136,A53223155 : A53204220,A53213478 : A53213354,A53205019 : A53229039,A53222854 : A53227801
A53097956,A53209370 : A53213120,A53211334 : A53207007,A53090836 : A53212517,A53214922 : A53211334,A53091182 : A53212795
A53213477,A53220876 : A53215552,A53205530 : A53214137,A91066094 : A53201459,A53207015 : A53220021,A53217553 : A53215013
A53220135,A53209370 : A53216518,A53205204 : A53228931,A53223244 : A53215552,A53212389 : A53205212,A53210761 : A53211130
A53214192,A11302948 : A53210041,A13291871 : A53211801,A53203634 : A53219632,A53220223 : A53214078,A53070477 : A53221997
A53210761,A09240216 : A53228576,A53213477 : A53204705,A13291871 : A53088770,A53207045 : A09141151,A53226915 : A53224865
A10660264,A53201515 : A53212800,A07061018 : A98005611,A53219165 : A53215552,A53212517 : A53201459,A53215124 : A53215182
A53207007,A53220043 : A53201624,A07061018 : A98005611,A53217553 : A53211917,A53214804 : A53205204,A98005611 : A53202646
A53204705,A53213406 : A53228136,A10743411 : A53221613,A53205019 : A53204772,A53216991 : A53211421,A53080809 : A53211801
A98022702,A53096247 : A53215182,A53105993 : A53089745,A53225989 : A53221997,A53221873 : A53228136,A53212795 : A53228033
A53096247,A53216658 : A53220135,A53211917 : A53222854,A53228341 : A53220055,A53220223 : A53211863,A53220223 : A53211334
A53215182,A53212795 : A53220135,A53222305 : A53209213,A53080809 : A53088770,A53205019 : A09739609,A53228518 : A53229113
A08937970,A53203033 : A53221997,A53213872 : A53225380,A53216604 : A53216518,A53204408 : A53204900,A53213478 : A98022702
A53210041,A53206643 : A53048780,A53216518 : A53213120,A53223155 : A53220640,A07061018 : A53227458,A53080809 : A13291871
A53209213,A53211801 : A53088770,A53205530 : A53204236,A53227982 : A53088770,A98005611 : A53214122,A53213354 : A98022702
A53220223,A53204571 : A53208651,A53216991 : A53213354,A53204772 : A09739609,A53205623 : A53215124,A53214162 : A53228136
A00127853,A53214922 : A53214078,A53203181 : A50054801,A53205204 : A53225380,A53215182 : A53060769,A11302948 : A53214465
A53080809,A53213406 : A53213937,A53210491 : A53221613,A53203195 : A53220055,A53229039 : A53204772,A53210041 : A53204900
A53214465,A53206591 : A53215182,A07061018 : A53211051,A53228341 : A53212052,A53215013 : A53222854,A53228518 : A53224865
A53228576,A53212966 : A10743411,A53210709 : A53211917,A53219165 : A53223244,A53091001 : A53220876,A53222305 : A53211130
A09739609,A53215013 : A53222854,A53216991 : A53213354,A10660264 : A53088770,A53214162 : A53221873,A53222305 : A53209213
A53216604,A53219654 : A53219498,A53211334 : A53211863,A53214192 : A53207678,A53223244 : A53091001,A53204220 : A53220640
A53212795,A53211917 : A53227801,A53219165 : A53222917,A53207045 : A53219500,A53216991 : A53218121,A53223244 : A53220876
A53215124,A53070548 : A53201095,A53208883 : A53212862,A53207045 : A53229091,A53228576 : A53219632,A10566076 : A53209671
A53091182,A98005611 : A53214122,A13291871 : A10660264,A53205019 : A09739609,A53215124 : A53060769,A09141151 : A53219500
A53220021,A53091001 : A53220876,A53200443 : A53224865,A53215124 : A53060769,A53206917 : A53203175,A10660264 : A53211801
A53205623,A53206643 : A53048780,A53213354 : A53218121,A53201624 : A53211130,A53202177 : A53220021,A53210761 : A53201624
A53227801,A53201515 : A53212800,A53229091 : A53228338,A07061018 : A53211051,A53227602 : A53203446,A53213477 : A53208651
A53070477,A53219498 : A53091724,A53091724 : A53104529,A53218602 : A53212517,A53210761 : A53209213,A53219165 : A53223244
A53203033,A53205530 : A53203446,A53214078 : A53207007,A53219165 : A53091001,A53105993 : A53200821,A53222305 : A53201624
A53220043,A53228338 : A53216516,A53225380 : A53228931,A53223244 : A53222917,A00127853 : A53223155,A53223155 : A53204220
A53213872,A53210709 : A53227801,A53203175 : A53206319,A99048469 : A53213406,A53212966 : A53210397,A99048469 : A53213937
A53229113,A07061018 : A53202646,A53070548 : A53220159,A53219654 : A53104529,A53204408 : A53210041,A53207865 : A53200821
A53104529,A53214122 : A53202646,A10743411 : A53210491,A53205530 : A53214137,A53220021 : A53218665,A53207865 : A53089745
A99048469,A07061018 : A53227458,A08937970 : A53210491,A53207865 : A53200821,A53211051 : A53227458,A91066094 : A53058446
A53207045,A10566076 : A53203965,A53205530 : A53227602,A53220043 : A53222305,A53206917 : A98099513,A53202177 : A53203966
A53228341,A00127853 : A53220640,A53205632 : A53221997,A53223155 : A53048780,A53203033 : A53070477,A53212334 : A53070477
A53205019,A53225989 : A53221997,A53048780 : A53220640,A53208883 : A53091724,A53211421 : A53218121,A53105993 : A53207865
A13291871,A53204220 : A53048780,A53206209 : A53204236,A53224865 : A53209077,A53228518 : A53229113,A53205530 : A53203446
A53219632,A98005611 : A53211051,A53206591 : A53060769,A11302948 : A53214465,A53204705 : A50054801,A53220159 : A53201095
A53228503,A10566076 : A53203965,A53219148 : A53203195,A53210041 : A53204900,A53216991 : A53213478,A53212966 : A53221613
A11302948,A53212334 : A53070477,A53214137 : A53204236,A53070548 : A53201095,A53214122 : A53227458,A53090836 : A53058446
A53208883,A53214804 : A53228931,A53205530 : A53206209,A53218602 : A53201459,A53220043 : A53210761,A53206917 : A98099513
A53220640,A09240216 : A08001117,A53202646 : A53227458,A53090836 : A53218602,A53210397 : A53210491,A53207015 : A53218665
A53214804,A53218476 : A53220021,A53213478 : A53211421,A53218602 : A53058446,A53090836 : A91066094,A09240216 : A53203634
A53220159,A53211044 : A98099513,A53203175 : A53202335,A53220223 : A53211863,A09240216 : A08001117,A53204408 : A53214465
A53200821,A53213477 : A53204705,A53228341 : A53203195,A53214804 : A53225380,A53211044 : A53202335,A53207678 : A53209671
A53204408,A53080809 : A53088770,A53213120 : A53205212,A53223155 : A53206643,A53215182 : A53060769,A53206591 : A53215182
A53205204,A53097956 : A53203965,A53204705 : A53204571,A53080809 : A53211801,A53207045 : A53228338,A53212795 : A53220135
A10743411,A13291871 : A53088770,A99048469 : A53228136,A53202177 : A53203966,A53215124 : A53096247,A91066094 : A53212517
A53209370,A50054801 : A53208651,A11302948 : A53210041,A10566076 : A53207678,A53220043 : A53211130,A53207015 : A53203966
A53205632,A53214922 : A53207007,A53212389 : A53213120,A53202177 : A53218665,A53204408 : A53210041,A53206643 : A53204220
A53211051,A53210761 : A53209213,A53206209 : A53203446,A53209077 : A53229113,A53213354 : A98022702,A53214804 : A53219777
A53205530,A53206319 : A98099513,A53218602 : A53201459,A53211421 : A53218121,A53224865 : A53229113,A53200443 : A53226915
A53048780,A53091182 : A53220135,A08937970 : A10743411,A53229091 : A09141151,A53206209 : A53203446,A53214192 : A53209671
A53214137,A53207678 : A53203965,A53214162 : A53213937,A53213406 : A53221873,A53091001 : A53215552,A53206591 : A53205623
A53212389,A53228518 : A53209077,A53213477 : A53204571,A53228033 : A53220135,A53220664 : A53207865,A53205204 : A53225380
A53212862,A98022702 : A53218121,A53213872 : A53219777,A53216991 : A53218121,A53214804 : A53219777,A53213872 : A53228931
A53209077,A91066094 : A53218602,A53206591 : A53215124,A53229091 : A09141151,A10743411 : A53210397,A53204705 : A53204571
A53216991,A53201624 : A53209213,A53105993 : A53089745,A10660264 : A53227982,A53090836 : A53201459,A53213477 : A50054801
A10566076,A53207015 : A53202177,A53203175 : A98099513,A53218665 : A53203966,A53209370 : A53216604,A53204220 : A53048780
A53219148,A53048780 : A53220640,A53228931 : A53219777,A53211044 : A53206917,A53217617 : A53228576,A53214162 : A53213406
A53201515,A53206591 : A53215124,A53070477 : A53221997,A53216991 : A98022702,A53217617 : A53203634,A53215552 : A53222917
A53228518,A53221859 : A53204772,A53207045 : A53219500,A53097956 : A53214192,A53220664 : A53089745,A53213354 : A53211421
A53203634,A53205204 : A53228931,A53204705 : A50054801,A53091182 : A53227688,A53216604 : A53212389,A53212795 : A53216658
A53213120,A53205623 : A53096247,A53211044 : A53206319,A53206209 : A53204236,A53091001 : A53215552,A99048469 : A53213406
A53205212,A53224865 : A53209077,A53214514 : A09739609,A53091182 : A53228033,A53209077 : A53229113,A53228503 : A53201095
A53227458,A53220223 : A53207007,A53218476 : A53218665,A53210397 : A53221613,A53220664 : A53200821,A53214192 : A53203965
A53219498,A53210761 : A53201624,A53227688 : A53212795,A53216658 : A53220135,A53212334 : A53221997,A53203033 : A53221997
A53225380,A53220223 : A53207007,A10660264 : A53211801,A53214162 : A99048469,A53205019 : A53221859,A53212334 : A53205632
A53202646,A53214162 : A53213937,A53229039 : A53214514,A53203181 : A53213477,A53097956 : A10566076,A53225989 : A53205632
A07061018,A53213478 : A53218121,A53229091 : A53216516,A53080809 : A10660264,A53200443 : A53209077,A53220664 : A53105993
A53228136,A53225989 : A53203033,A53214465 : A53204900,A53220021 : A53218665,A53200821 : A53089745,A53220223 : A53211334
A53206209,A53205204 : A53219777,A53225989 : A53212334,A53218476 : A53202177,A53205019 : A53214514,A53096247 : A53215182
A53228033,A53221859 : A09739609,A53228338 : A09141151,A53206591 : A53096247,A53211334 : A53214078,A53217445 : A53212052
A53213406,A53105993 : A53207865,A00127853 : A53204220,A53220223 : A53214922,A53213478 : A53218121,A53219654 : A53091724
A53218121,A53205019 : A53214514,A53214922 : A53211863,A53212966 : A53210491,A53201515 : A53201095,A08937970 : A53210397
A53214122,A53227602 : A53203446,A53209671 : A53203965,A53220664 : A53207865,A53224865 : A53229113,A53219165 : A53091001
A53060769,A53228338 : A09141151,A53091724 : A53212862,A00127853 : A53204220,A53220159 : A53201095,A53203195 : A53212052
A53214514,A10743411 : A53210491,A53214804 : A53213872,A53226915 : A53229113,A08937970 : A53210397,A53228338 : A53219500
A53204900,A53220043 : A53211130,A53214804 : A53205204,A53213354 : A53211421,A53217617 : A53219632,A53220043 : A53209213
A53228931,A53216604 : A53212389,A53211044 : A53203175,A53217617 : A08001117,A53206643 : A53220640,A53212334 : A53221997
A53105993,A53221873 : A53213937,A53209370 : A53212389,A53207015 : A53218476,A53213872 : A53219777,A00127853 : A53206643
A53200443,A53215124 : A53215182,A53214122 : A53202646,A53214162 : A53221873,A53201515 : A53220159,A53223244 : A53222917
A53211334,A53097956 : A10566076,A53207015 : A53218665,A00127853 : A53220640,A53228338 : A53219500,A53221859 : A53214514
A53214922,A53219148 : A53203195,A53209370 : A53216518,A08937970 : A53212966,A53218476 : A53220021,A53222305 : A53201624
A53218665,A53228503 : A53220159,A53217445 : A53220055,A53203175 : A53206319,A53229039 : A53214514,A53091182 : A53212795
A53229039,A53206209 : A53227602,A53225989 : A53205632,A53097956 : A53207678,A53214804 : A53228931,A53204705 : A53208651
A53221873,A53228642 : A53204408,A53208883 : A53104529,A53201624 : A53209213,A11302948 : A53204900,A53203181 : A53208651
A53229091,A53211421 : A98022702,A53206209 : A53227602,A53203446 : A53214137,A53214078 : A53211863,A00127853 : A53048780
A53206591,A53228503 : A53212800,A53203634 : A08001117,A53214078 : A53207007,A53070548 : A53212800,A53216516 : A09141151
A53211130,A08937970 : A10743411,A53200443 : A53229113,A53207015 : A53202177,A53216516 : A09141151,A53217617 : A53219632
A53201459,A53207007 : A53211863,A53206319 : A53202335,A13291871 : A10660264,A98022702 : A53218121,A53214465 : A53204900
A53090836,A53212966 : A53221613,A53219148 : A53212052,A53216991 : A53211421,A53203634 : A53219632,A53228642 : A53214465
A53224865,A53205019 : A53204772,A53217445 : A53220055,A53212800 : A53220159,A53211421 : A98022702,A53080809 : A53227982
A53221997,A53207045 : A53216516,A11302948 : A53204408,A53220043 : A53209213,A53228341 : A53219148,A53227602 : A53214137
A53221613,A53228518 : A53224865,A53205530 : A53227602,A53229091 : A53228338,A53206319 : A53202335,A53206917 : A53206319
A53215552,A53090836 : A53058446,A53226915 : A53229113,A53215013 : A53227801,A53206643 : A53220640,A53205623 : A53215124
A53212800,A53219498 : A53104529,A53228576 : A08001117,A53219654 : A53208883,A53213478 : A53213354,A53214514 : A53204772
A53204236,A53219498 : A53208883,A53228503 : A53201095,A53070548 : A53220159,A53212800 : A53201095,A53070548 : A53212800
A53212966,A53203195 : A53217445,A53206917 : A53202335,A11302948 : A53228642,A53207045 : A53216516,A53204408 : A53214465
A53226915,A53206209 : A53214137,A53211044 : A53206319,A53228503 : A53070548,A53205530 : A53206209,A53220043 : A53210761
A53206319,A53203446 : A53204236,A53200443 : A53226915,A53202177 : A53220021,A53220021 : A53203966,A53201515 : A53201095
A09240216,A53219654 : A53212862,A53216604 : A53205212,A10566076 : A53209671,A53212800 : A53201095,A53227602 : A53204236
A53217445,A53205019 : A53229039,A53216604 : A53216518,A53219654 : A53212862,A53209370 : A53216604,A53208883 : A53212862
A53227602,A53221859 : A09739609,A53221859 : A53204772,A53229091 : A53219500,A53097956 : A53209671,A53219654 : A53208883
A53227688,A53213406 : A53213937,A53223244 : A53220876,A53212517 : A53058446,A53203181 : A53208651,A53219148 : A53220055
A53212334,A08001117 : A53219632,A53104529 : A53212862,A53203634 : A08001117,A53228503 : A53201515,A53217617 : A08001117
A53216658,A08937970 : A53212966,A53091001 : A53222917,A53217553 : A53227801,A53213477 : A53204571,A53213406 : A53228136
A53219165,A53217617 : A09240216,A09240216 : A53203634,A53091724 : A53104529,A53228503 : A53220159,A53219654 : A53219498
A50054801,A53217617 : A53203634,A53217445 : A53212052,A53220223 : A53214078,A53211334 : A53211863,A09240216 : A53219632
